field,,timestamp,distance,speed,lat,lon,heart_rate,cadence,elevation,elevation
elev_source,,,,,,,,,google,flat
block,offset,,,,,,,,,
0,00:00:44,2019-09-14 11:42:59,47.44,3.794,39.99757952056825,-105.29391087591648,113.0,47,1792.6,1799.4
0,00:00:45,2019-09-14 11:43:00,51.1,3.747,39.997574323788285,-105.2939532045275,114.0,47,1792.9,1799.4
0,00:00:46,2019-09-14 11:43:01,55.36,3.952,39.99758739955723,-105.29400064609945,115.0,47,1795.5,1799.4
0,00:00:47,2019-09-14 11:43:02,55.36,3.834,39.99756233766675,-105.2939735725522,116.0,47,1792.7,1799.4
0,00:00:48,2019-09-14 11:43:03,55.36,4.139,39.99756979756057,-105.29391850344837,117.0,48,1792.2,1799.4
0,00:00:49,2019-09-14 11:43:04,56.27,4.416,39.99752570874989,-105.29392370022833,117.0,52,1789.6,1799.4
0,00:00:50,2019-09-14 11:43:05,56.27,2.925,39.99752386473119,-105.29392378404737,118.0,52,1789.4,1799.4
0,00:00:51,2019-09-14 11:43:06,56.45,6.953,39.997451696544886,-105.29394398443401,118.0,52,1788.7,1799.4
0,00:00:52,2019-09-14 11:43:07,61.74,6.431,39.997456977143884,-105.29400609433651,118.0,52,1790.6,1799.4
0,00:00:53,2019-09-14 11:43:08,63.05,1.346,39.997454546391964,-105.29408505186439,118.0,52,1791.9,1799.4
0,00:00:54,2019-09-14 11:43:09,65.84,6.541,39.997454546391964,-105.29408505186439,119.0,52,1791.9,1799.4
0,00:00:55,2019-09-14 11:43:10,65.84,6.541,39.99751053750515,-105.29406133107841,120.0,60,1792.1,1799.4
0,00:00:56,2019-09-14 11:43:11,68.84,5.493,39.99753995798528,-105.2940742392093,120.0,60,1793.1,1799.4
0,00:00:57,2019-09-14 11:43:12,68.84,3.682,39.997541634365916,-105.29406795278192,121.0,60,1793.1,1799.4
0,00:00:58,2019-09-14 11:43:13,70.37,1.553,39.99753953889012,-105.29411623254418,121.0,60,1793.6,1799.4
0,00:00:59,2019-09-14 11:43:14,72.49,4.02,39.99753953889012,-105.29411623254418,123.0,60,1793.6,1799.4
